Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,OH1RHU,29.68000,-,0.1,,88.5,88.5,023,NN,FM,25.00,,"Turku (RX) Lieto (TX)",,,
1,OH3RTR,51.95000,-,0.6,Tone,123.0,123.0,023,NN,FM,25.00,,"Tampere",,,
2,OH6RVC,51.85000,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Lapua",,,
3,OH0RAA,145.67500,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Dalkarby",,,
4,OH1RAA,145.65000,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Turku / Sommelo",,,
5,OH1RAB,145.72500,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Kiukainen",,,
6,OH1RAD,145.70000,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Salo",,,
7,OH1RAE,145.62500,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Kankaanpää",,,
8,OH1RAI,145.60000,+,0,,88.5,88.5,023,NN,FM,25.00,,"Uusikaupunki",,,
9,OH1RAU,145.77500,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Turku / Pääskyvuori",,,
10,OH2DMRL,145.57500,+,0,,88.5,88.5,023,NN,DMR,25.00,,"Lohja VHF DMR ",,,
11,OH2RCH,145.60000,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Lohja Pusula",,,
12,OH3RAA,145.67500,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Hämeenlinna",,,
13,OH3RAC,145.77500,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Lahti",,,
14,OH3RAN,145.65000,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Forssa",,,
15,OH3RAR,145.72500,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Hausjärvi Erkylä",,,
16,OH3RNE,145.57500,-,0.6,,88.5,88.5,023,NN,DMR,25.00,,"Tampere VHF DMR",,,
17,OH3RNE,145.75000,-,0.6,Tone,123.0,123.0,023,NN,FM,25.00,,"Tampere Wide Area",,,
18,OH4RAB,145.67500,-,0.6,Tone,103.5,103.5,023,NN,FM,25.00,,"Pieksämäki",,,
19,OH4RAC,145.75000,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Mikkeli",,,
20,OH4RAF,145.62500,-,0.6,,88.5,88.5,023,NN,FM / Yaesu,25.00,,"Savonlinna",,,
21,OH5RAB,145.77500,-,0.6,,88.5,88.5,023,NN,FM,25.00,,"Lappeenranta / Muukko",,,
