Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,V 200,145.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
1,V 2125,145.212500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
2,V 225,145.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
3,V 2375,145.237500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
4,V 250,145.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
5,V 2625,145.262500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
6,V 275,145.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
7,V 2875,145.287500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
8,V 300,145.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
9,V 3125,145.312500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
10,V 325,145.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
11,V 3375,145.337500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
12,V 350,145.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
13,V 3625,145.362500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
14,V 375,145.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
15,V 3875,145.387500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
16,V 400,145.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
17,V 4125,145.412500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
18,V 425,145.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
19,V 4375,145.437500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
20,V 450,145.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
21,V 4625,145.462500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
22,V 475,145.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
23,V 4875,145.487500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
24,V 500 C,145.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
25,V 5125,145.512500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
26,V 525,145.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
27,V 5375,145.537500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
28,V 550,145.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
29,V 5625,145.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
30,U 400,433.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
31,U 425,433.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
32,U 450,433.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
33,U 475,433.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
34,U 500 C,433.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
35,U 525,433.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
36,U 550,433.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
37,U 575,433.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
38,OH0RAA,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Dalkarby,,,,
39,OH1RAA,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Turku / Sommelo,,,,
40,OH1RAB,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Kiukainen,,,,
41,OH1RAD,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Salo,,,,
42,OH1RAE,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Kankaanpää,,,,
43,OH1RAI,145.600000,+,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Uusikaupunki,,,,
44,OH1RAU,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Turku / Pääskyvuori,,,,
45,OH2RCH,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Lohja Pusula,,,,
46,OH3RAA,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Hämeenlinna,,,,
47,OH3RAC,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Lahti,,,,
48,OH3RAN,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Forssa,,,,
49,OH3RAR,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Hausjärvi Erkylä,,,,
50,OH3RNE,145.750000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,25.00,,50W,Tampere Wide Area,,,,
51,OH4RAB,145.675000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Pieksämäki,,,,
52,OH4RAC,145.750000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Mikkeli,,,,
53,OH4RAF,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Savonlinna,,,,
54,OH5RAB,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Lappeenranta / Muukko,,,,
55,OH5RAC,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Kouvola,,,,
56,OH5RUA,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Kotka,,,,
57,OH6RAC,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Lapua,,,,
